Referencia,Distorsion
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_5_sat_7.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_10_sat_6.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_1_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_12_sat_3.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_18_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_2_sat_5.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_19_sat_1.png
/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_orig_desat23.png,/lustre/ific.uv.es/ml/uv075/Databases/Nuria_Paper1/TID13/im_23_tono_14_sat_2.png
