,index,RMSE,LPIPS,DISTS,SSIM,PerceptNet
0,0,0.005456128,0.0017363424,0.00081437826,0.0012696385,0.0010817146
1,1,0.03535246,0.014624635,0.008542061,0.0059382915,0.0060182055
2,2,0.050688956,0.024598252,0.021027744,0.0084126,0.006482716
3,3,0.07321864,0.054686695,0.04016787,0.01600504,0.006332158
4,4,0.052482244,0.04351625,0.025128365,0.013200402,0.0058193007
5,5,0.029331395,0.010155985,0.009939909,0.004141867,0.004270499
6,6,0.009149227,0.0034406926,0.004813373,0.0019114017,0.0015700099
7,7,0.041423716,0.020736912,0.016869664,0.010203183,0.005795163
8,8,0.0077171475,0.0028010036,0.0011573434,0.0016300678,0.0013102817
9,9,0.0158148,0.0041447496,0.0031524897,0.002295971,0.0029917005
10,10,0.0074865017,0.0027967421,0.0017089248,0.0016714334,0.0012019598
11,11,0.024176884,0.010168215,0.0058255196,0.003102541,0.004070376
12,12,0.037979636,0.02771955,0.0128906965,0.006078303,0.005613418
13,13,0.045281943,0.026672237,0.02219212,0.0066664815,0.003975905
14,14,0.04060625,0.026150592,0.02052176,0.005235493,0.0018604669
15,15,0.029797494,0.014034315,0.013268948,0.0032577515,0.0023809623
16,16,0.03953336,0.025729096,0.019980311,0.0050098896,0.0018456401
17,17,0.041641038,0.019222936,0.011929035,0.007680297,0.0070538935
18,18,0.04376242,0.01591036,0.013601661,0.0074935555,0.006773321
19,19,0.025414916,0.006543992,0.0065939426,0.0033416748,0.004253157
20,20,0.08481352,0.0767944,0.0520826,0.020707428,0.0035329983
21,21,0.050962444,0.036952212,0.027722001,0.0074620247,0.0022194686
22,22,0.05219281,0.019910961,0.013782859,0.011620343,0.008909164
23,23,0.08282465,0.10162156,0.04880047,0.026734889,0.0094208
24,24,0.006458755,0.0019681077,0.00084519386,0.0013368726,0.0014015962
25,25,0.0767854,0.1034551,0.042088628,0.023497581,0.007043953
26,26,0.0163994,0.006030157,0.005393982,0.0017473698,0.001302743
27,27,0.04193942,0.043197323,0.02336824,0.009907782,0.0023582364
28,28,0.085594475,0.1518725,0.04700029,0.027534604,0.0048255827
29,29,0.02976806,0.024390517,0.013285637,0.0077121854,0.0022702862
30,30,0.018739184,0.00662582,0.003835857,0.0024535656,0.0030606538
31,31,0.028526545,0.014234257,0.012925863,0.0030219555,0.0017131582
32,32,0.05604381,0.023994409,0.021418631,0.0151411295,0.009613797
33,33,0.025109623,0.012157815,0.010319352,0.0031132698,0.0022486874
34,34,0.04519593,0.057959512,0.022873163,0.010735571,0.0030703228
35,35,0.032658253,0.009548545,0.007835627,0.0064361095,0.0064321123
36,36,0.021538228,0.012659015,0.007900894,0.003162384,0.0024213055
37,37,0.0075556114,0.0022990643,0.0007531643,0.0015126467,0.0015214146
38,38,0.02433466,0.009080032,0.009163618,0.0046339035,0.0033443212
39,39,0.01138323,0.0034466097,0.0035093427,0.0017828941,0.0018743689
40,40,0.0058995914,0.002392272,0.0019989014,0.0017143488,0.0013612142
41,41,0.008029806,0.0022158795,0.000985384,0.0015408993,0.0016631573
42,42,0.067170255,0.057390973,0.039935827,0.013398409,0.0024601198
43,43,0.051105954,0.035195507,0.026293397,0.009366035,0.0050519193
